model,contrast,group,lhs_condition,rhs_condition,metric,n_items,lhs_mean,rhs_mean,estimate,ci_low,ci_high,p_value,effect_size_dz,interpretation,estimate_pp,ci_low_pp,ci_high_pp,estimate_with_ci,p_value_display
qwen2.5:0.5b-instruct,christian_pre_vs_secular_pre_j1_act_shift,first_pass,christian_pre,secular_pre,first-pass act shift vs baseline,120,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,1.0,0.0,"For first-pass act shift vs baseline, Christian and secular are tied; the paired test remains weak.",0.0,0.0,0.0,"+0.00 pp [+0.00, +0.00]",1.000
qwen2.5:0.5b-instruct,christian_pre_vs_secular_pre_j1_heart_shift,first_pass,christian_pre,secular_pre,first-pass heart shift vs baseline,120,0.008333333333333333,0.016666666666666666,-0.008333333333333333,-0.025,0.0,1.0,-0.09128709291752768,"For first-pass heart shift vs baseline, Christian falls below the matched secular control; the contrast shows virtually no difference but the paired test remains weak.",-0.8333333333333334,-2.5,0.0,"-0.83 pp [-2.50, +0.00]",1.000
qwen2.5:0.5b-instruct,christian_post_vs_secular_post_explanation_raw,explanation,christian_post,secular_post,raw Christian/heart-language score,120,0.8333333333333334,0.875,-0.041666666666666664,-0.20833333333333334,0.1,0.6542691461707658,-0.05056837003636539,"For raw Christian/heart-language score, Christian falls below the matched secular control; the contrast shows a clearer difference but the paired test remains weak.",-4.166666666666666,-20.833333333333336,10.0,"-4.17 pp [-20.83, +10.00]",0.654
qwen2.5:0.5b-instruct,christian_post_vs_secular_post_explanation_controlled,explanation,christian_post,secular_post,lexical-controlled motive/heart semantic score,120,0.03333333333333333,0.008333333333333333,0.025,-0.008333333333333333,0.06666666666666667,0.3715256948610278,0.12288825347704962,"For lexical-controlled motive/heart semantic score, Christian exceeds the matched secular control; the contrast shows a modest difference but the paired test remains weak.",2.5,-0.8333333333333334,6.666666666666667,"+2.50 pp [-0.83, +6.67]",0.372
qwen2.5:0.5b-instruct,christian_post_vs_secular_post_restructure_beyond_echo,explanation,christian_post,secular_post,restructuring beyond direct echo,120,0.008333333333333333,0.0,0.008333333333333333,0.0,0.025,1.0,0.09128709291752768,"For restructuring beyond direct echo, Christian exceeds the matched secular control; the contrast shows virtually no difference but the paired test remains weak.",0.8333333333333334,0.0,2.5,"+0.83 pp [+0.00, +2.50]",1.000
qwen2.5:0.5b-instruct,christian_post_vs_secular_post_explanation_raw_presence,explanation,christian_post,secular_post,raw Christian/heart-language presence,120,0.49166666666666664,0.5333333333333333,-0.041666666666666664,-0.11666666666666667,0.03333333333333333,0.41211757648470304,-0.09520816540241236,"For raw Christian/heart-language presence, Christian falls below the matched secular control; the contrast shows a clearer difference but the paired test remains weak.",-4.166666666666666,-11.666666666666666,3.3333333333333335,"-4.17 pp [-11.67, +3.33]",0.412
qwen2.5:0.5b-instruct,christian_post_vs_secular_post_explanation_controlled_presence,explanation,christian_post,secular_post,lexical-controlled motive/heart presence,120,0.03333333333333333,0.008333333333333333,0.025,-0.008333333333333333,0.06666666666666667,0.3715256948610278,0.12288825347704962,"For lexical-controlled motive/heart presence, Christian exceeds the matched secular control; the contrast shows a modest difference but the paired test remains weak.",2.5,-0.8333333333333334,6.666666666666667,"+2.50 pp [-0.83, +6.67]",0.372
qwen2.5:0.5b-instruct,christian_post_vs_secular_post_dissociated_explanation_shift,mechanism,christian_post,secular_post,dissociated explanation shift with J1 fixed,120,0.03333333333333333,0.008333333333333333,0.025,-0.008333333333333333,0.06666666666666667,0.3715256948610278,0.12288825347704962,"For dissociated explanation shift with J1 fixed, Christian exceeds the matched secular control; the contrast shows a modest difference but the paired test remains weak.",2.5,-0.8333333333333334,6.666666666666667,"+2.50 pp [-0.83, +6.67]",0.372
qwen2.5:0.5b-instruct,christian_post_vs_secular_post_j2_act_revision,revision,christian_post,secular_post,J1 to J2 act revision,120,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"For J1 to J2 act revision, Christian and secular are tied; the paired test remains weak.",0.0,0.0,0.0,"+0.00 pp [+0.00, +0.00]",1.000
qwen2.5:0.5b-instruct,christian_post_vs_secular_post_j2_heart_revision,revision,christian_post,secular_post,J1 to J2 heart revision,120,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,1.0,0.0,"For J1 to J2 heart revision, Christian and secular are tied; the paired test remains weak.",0.0,0.0,0.0,"+0.00 pp [+0.00, +0.00]",1.000
